,Date,Site,Plot,Quadrat,ID,Size_x,T1_Date,T1_Survival,Taxa_broad,Site_Plot
37,5/6/2023,2,4,1,1,5,23/8/2024,1,Acroporiidae,2_4
38,5/6/2023,2,4,1,2,5,23/8/2024,1,Acroporiidae,2_4
39,5/6/2023,2,4,1,4,4,23/8/2024,0,Acroporiidae,2_4
40,5/6/2023,2,4,1,5,1,23/8/2024,0,Acroporiidae,2_4
41,5/6/2023,2,4,2,1,1,23/8/2024,0,Acroporiidae,2_4
42,5/6/2023,2,4,2,2,6,23/8/2024,1,Acroporiidae,2_4
43,5/6/2023,2,4,2,3,3,23/8/2024,1,Acroporiidae,2_4
44,5/6/2023,2,4,2,4,1,23/8/2024,0,Acroporiidae,2_4
45,5/6/2023,2,4,2,5,3,23/8/2024,1,Acroporiidae,2_4
46,5/6/2023,2,4,2,6,5,23/8/2024,0,Acroporiidae,2_4
47,5/6/2023,2,4,2,7,7,23/8/2024,0,Acroporiidae,2_4
48,5/6/2023,2,4,2,8,4,23/8/2024,0,Acroporiidae,2_4
49,5/6/2023,2,4,2,9,1,23/8/2024,0,Acroporiidae,2_4
50,5/6/2023,2,4,3,1,8,23/8/2024,1,Acroporiidae,2_4
51,5/6/2023,2,4,3,2,6,23/8/2024,1,Acroporiidae,2_4
52,5/6/2023,2,4,3,3,3,23/8/2024,0,Acroporiidae,2_4
53,5/6/2023,2,4,3,4,5,23/8/2024,0,Acroporiidae,2_4
54,5/6/2023,2,4,3,5,4,23/8/2024,0,Acroporiidae,2_4
55,5/6/2023,2,4,4,1,2,23/8/2024,0,Acroporiidae,2_4
56,5/6/2023,2,4,4,2,2,23/8/2024,0,Acroporiidae,2_4
57,5/6/2023,2,4,4,4,5,23/8/2024,0,Acroporiidae,2_4
58,5/6/2023,2,4,5,1,4,23/8/2024,1,Acroporiidae,2_4
59,5/6/2023,2,4,5,2,1,23/8/2024,0,Acroporiidae,2_4
60,5/6/2023,2,4,5,3,3,23/8/2024,0,Acroporiidae,2_4
61,5/6/2023,2,4,5,4,1,23/8/2024,1,Acroporiidae,2_4
62,5/6/2023,2,4,5,5,3,23/8/2024,1,Acroporiidae,2_4
63,5/6/2023,2,4,5,6,4,23/8/2024,0,Acroporiidae,2_4
64,5/6/2023,2,4,6,1,1,23/8/2024,0,Acroporiidae,2_4
65,5/6/2023,2,4,6,2,1,23/8/2024,0,Acroporiidae,2_4
66,5/6/2023,2,4,6,3,2,23/8/2024,0,Acroporiidae,2_4
67,5/6/2023,2,4,6,6,1,23/8/2024,0,Acroporiidae,2_4
68,5/6/2023,2,4,7,1,4,23/8/2024,1,Acroporiidae,2_4
69,5/6/2023,2,4,7,4,3,23/8/2024,0,Acroporiidae,2_4
70,5/6/2023,2,4,7,5,2,23/8/2024,1,Acroporiidae,2_4
71,5/6/2023,2,4,7,6,3,23/8/2024,0,Acroporiidae,2_4
72,5/6/2023,2,4,7,7,3,23/8/2024,0,Acroporiidae,2_4
73,5/6/2023,2,4,7,8,1,23/8/2024,0,Acroporiidae,2_4
74,5/6/2023,2,4,7,9,3,23/8/2024,0,Acroporiidae,2_4
75,5/6/2023,2,4,7,10,2,23/8/2024,0,Acroporiidae,2_4
76,24/8/2023,2,5,1,1,4,24/8/2024,0,Acroporiidae,2_5
77,24/8/2023,2,5,1,2,2,24/8/2024,0,Acroporiidae,2_5
78,24/8/2023,2,5,1,3,5,24/8/2024,0,Acroporiidae,2_5
79,24/8/2023,2,5,1,4,1.5,24/8/2024,0,Acroporiidae,2_5
80,24/8/2023,2,5,1,5,3,24/8/2024,0,Acroporiidae,2_5
81,21/8/2023,3,7,1,2,5,21/8/2024,1,Acroporiidae,3_7
82,21/8/2023,3,7,1,3,3,21/8/2024,1,Acroporiidae,3_7
83,21/8/2023,3,7,1,4,3,21/8/2024,1,Acroporiidae,3_7
84,21/8/2023,3,7,1,5,3,21/8/2024,1,Acroporiidae,3_7
85,21/8/2023,3,7,1,6,2,21/8/2024,0,Acroporiidae,3_7
86,25/8/2023,3,7,2,1,2,21/8/2024,1,Acroporiidae,3_7
87,25/8/2023,3,7,2,2,3,21/8/2024,1,Acroporiidae,3_7
88,25/8/2023,3,7,2,4,3,21/8/2024,1,Acroporiidae,3_7
89,25/8/2023,3,7,2,7,0.5,21/8/2024,1,Acroporiidae,3_7
90,25/8/2023,3,7,2,8,0.5,21/8/2024,1,Acroporiidae,3_7
91,25/8/2023,3,7,2,9,0.5,21/8/2024,0,Acroporiidae,3_7
92,3/6/2023,3,8,1,1,0.5,22/8/2024,0,Acroporiidae,3_8
93,3/6/2023,3,8,1,2,0.5,22/8/2024,0,Acroporiidae,3_8
94,3/6/2023,3,8,3,1,3,22/8/2024,0,Acroporiidae,3_8
95,3/6/2023,3,8,3,2,4,22/8/2024,1,Acroporiidae,3_8
96,3/6/2023,3,8,4,1,1,22/8/2024,0,Acroporiidae,3_8
97,3/6/2023,3,8,4,4,2,22/8/2024,1,Acroporiidae,3_8
98,3/6/2023,3,8,4,5,2,22/8/2024,0,Acroporiidae,3_8
99,3/6/2023,3,8,4,7,6,22/8/2024,0,Acroporiidae,3_8
100,3/6/2023,3,8,4,8,5,22/8/2024,1,Acroporiidae,3_8
101,3/6/2023,3,8,5,1,3,22/8/2024,1,Acroporiidae,3_8
102,3/6/2023,3,8,5,2,9,22/8/2024,0,Acroporiidae,3_8
103,3/6/2023,3,8,6,1,1,22/8/2024,0,Acroporiidae,3_8
104,3/6/2023,3,8,6,2,0.5,22/8/2024,0,Acroporiidae,3_8
105,3/6/2023,3,8,6,3,2,22/8/2024,0,Acroporiidae,3_8
106,3/6/2023,3,8,6,4,9,22/8/2024,1,Acroporiidae,3_8
107,3/6/2023,3,8,6,5,8,22/8/2024,1,Acroporiidae,3_8
108,3/6/2023,3,8,6,6,7,22/8/2024,1,Acroporiidae,3_8
109,3/6/2023,3,8,6,7,8,22/8/2024,1,Acroporiidae,3_8
110,3/6/2023,3,8,6,8,3,22/8/2024,1,Acroporiidae,3_8
111,9/6/2023,3,9,1,3,4,21/8/2024,1,Acroporiidae,3_9
112,9/6/2023,3,9,1,4,7,21/8/2024,1,Acroporiidae,3_9
113,9/6/2023,3,9,1,5,6,21/8/2024,1,Acroporiidae,3_9
114,9/6/2023,3,9,2,1,5,21/8/2024,0,Acroporiidae,3_9
115,9/6/2023,3,9,2,2,4,21/8/2024,0,Acroporiidae,3_9
116,9/6/2023,3,9,2,7,2,21/8/2024,0,Acroporiidae,3_9
117,9/6/2023,3,9,3,2,1,21/8/2024,0,Acroporiidae,3_9
118,9/6/2023,3,9,3,3,4,21/8/2024,0,Acroporiidae,3_9
119,9/6/2023,3,9,3,4,2,21/8/2024,0,Acroporiidae,3_9
120,9/6/2023,3,9,3,5,9,21/8/2024,0,Acroporiidae,3_9
121,9/6/2023,3,9,3,6,1,21/8/2024,0,Acroporiidae,3_9
122,9/6/2023,3,9,3,7,5,21/8/2024,1,Acroporiidae,3_9
123,20/8/2023,1,1,1,1,4,20/8/2024,1,Pocilloporidae,1_1
124,20/8/2023,1,1,1,2,3,20/8/2024,0,Pocilloporidae,1_1
125,20/8/2023,1,1,1,4,2,20/8/2024,1,Pocilloporidae,1_1
126,21/8/2023,1,1,2,2,8,20/8/2024,1,Pocilloporidae,1_1
127,25/8/2023,1,1,3,3,3,20/8/2024,1,Pocilloporidae,1_1
128,25/8/2023,1,1,3,4,3,20/8/2024,1,Pocilloporidae,1_1
129,7/6/2023,1,3,4,7,3,20/8/2024,0,Pocilloporidae,1_3
130,7/6/2023,1,3,4,12,3,20/8/2024,0,Pocilloporidae,1_3
131,21/8/2023,3,7,1,1,6,21/8/2024,1,Pocilloporidae,3_7
132,3/6/2023,3,8,4,6,5,22/8/2024,0,Pocilloporidae,3_8
133,20/8/2023,1,1,1,3,5,20/8/2024,1,Merulinidae,1_1
134,20/8/2023,1,1,1,6,4,20/8/2024,1,Merulinidae,1_1
135,20/8/2023,1,1,1,7,2,20/8/2024,1,Merulinidae,1_1
136,21/8/2023,1,1,2,1,5,20/8/2024,0,Merulinidae,1_1
137,21/8/2023,1,1,2,4,2,20/8/2024,1,Merulinidae,1_1
138,21/8/2023,1,1,2,5,2,20/8/2024,1,Merulinidae,1_1
139,21/8/2023,1,1,2,8,2,20/8/2024,1,Merulinidae,1_1
140,21/8/2023,1,1,2,11,2.3,20/8/2024,1,Merulinidae,1_1
141,25/8/2023,1,1,3,6,6,20/8/2024,0,Merulinidae,1_1
142,25/8/2023,1,1,3,7,5,20/8/2024,1,Merulinidae,1_1
143,21/8/2023,1,2,1,5,1,20/8/2024,0,Merulinidae,1_2
144,7/6/2023,1,3,1,3,3,20/8/2024,1,Merulinidae,1_3
145,7/6/2023,1,3,1,5,5,20/8/2024,1,Merulinidae,1_3
146,7/6/2023,1,3,1,6,4,20/8/2024,1,Merulinidae,1_3
147,7/6/2023,1,3,1,7,7,20/8/2024,1,Merulinidae,1_3
148,7/6/2023,1,3,1,8,4,20/8/2024,1,Merulinidae,1_3
149,7/6/2023,1,3,1,9,1,20/8/2024,0,Merulinidae,1_3
150,7/6/2023,1,3,2,1,8,20/8/2024,1,Merulinidae,1_3
151,7/6/2023,1,3,2,3,2,20/8/2024,1,Merulinidae,1_3
152,7/6/2023,1,3,2,4,6,20/8/2024,1,Merulinidae,1_3
153,7/6/2023,1,3,2,9,3,20/8/2024,1,Merulinidae,1_3
154,7/6/2023,1,3,3,7,5,20/8/2024,0,Merulinidae,1_3
155,7/6/2023,1,3,3,8,4,20/8/2024,0,Merulinidae,1_3
156,7/6/2023,1,3,3,9,3,20/8/2024,0,Merulinidae,1_3
157,5/6/2023,2,4,4,3,4,23/8/2024,0,Merulinidae,2_4
158,5/6/2023,2,4,4,5,2,23/8/2024,1,Merulinidae,2_4
159,5/6/2023,2,4,4,7,2,23/8/2024,0,Merulinidae,2_4
160,5/6/2023,2,4,4,8,4,23/8/2024,1,Merulinidae,2_4
161,5/6/2023,2,4,4,9,5,23/8/2024,1,Merulinidae,2_4
162,5/6/2023,2,4,6,5,8,23/8/2024,1,Merulinidae,2_4
163,25/8/2023,3,7,2,3,3,21/8/2024,1,Merulinidae,3_7
164,25/8/2023,3,7,2,5,1,21/8/2024,1,Merulinidae,3_7
165,25/8/2023,3,7,2,6,4,21/8/2024,1,Merulinidae,3_7
166,3/6/2023,3,8,2,1,8,22/8/2024,0,Merulinidae,3_8
167,3/6/2023,3,8,2,2,4,22/8/2024,1,Merulinidae,3_8
168,3/6/2023,3,8,2,3,3,22/8/2024,1,Merulinidae,3_8
169,3/6/2023,3,8,2,4,4,22/8/2024,0,Merulinidae,3_8
170,3/6/2023,3,8,2,5,5,22/8/2024,1,Merulinidae,3_8
171,3/6/2023,3,8,2,6,3,22/8/2024,1,Merulinidae,3_8
172,3/6/2023,3,8,4,2,1,22/8/2024,0,Merulinidae,3_8
173,3/6/2023,3,8,4,3,5,22/8/2024,1,Merulinidae,3_8
174,3/6/2023,3,8,4,9,6,22/8/2024,1,Merulinidae,3_8
175,3/6/2023,3,8,4,10,7,22/8/2024,1,Merulinidae,3_8
176,3/6/2023,3,8,5,4,8,22/8/2024,1,Merulinidae,3_8
177,3/6/2023,3,8,5,7,4,22/8/2024,1,Merulinidae,3_8
178,9/6/2023,3,9,1,1,9,21/8/2024,0,Merulinidae,3_9
179,9/6/2023,3,9,2,3,5,21/8/2024,0,Merulinidae,3_9
180,9/6/2023,3,9,2,5,4,21/8/2024,0,Merulinidae,3_9
181,9/6/2023,3,9,2,6,7,21/8/2024,0,Merulinidae,3_9
182,9/6/2023,3,9,2,8,5,21/8/2024,1,Merulinidae,3_9
183,9/6/2023,3,9,3,1,6,21/8/2024,1,Merulinidae,3_9
